,Lineitem sku,style,color,size,2020/09/05,2020/10/22,2020/10/31,2020/11/23,2020/12/20,2021/1/21,2021/3/8
standardblackXS,N0000,standard,black,XS,,65,,45,45,20,20
standardblackS,N0001,standard,black,S,,215,,170,170,50,90
standardblackM,N0002,standard,black,M,,840,,680,680,275,360
standardblackL,N0003,standard,black,L,,320,,255,255,135,135
standardblackXL,N0004,standard,black,XL,,80,,60,60,25,35
standardpurpleXS,N0010,standard,purple,XS,,10,,20,20,5,20
standardpurpleS,N0011,standard,purple,S,,35,,25,25,20,70
standardpurpleM,N0012,standard,purple,M,,150,,105,105,105,225
standardpurpleL,N0013,standard,purple,L,,60,,40,40,35,80
standardpurpleXL,N0014,standard,purple,XL,,15,,15,15,5,20
standardmintXS,N0020,standard,mint,XS,4,,,,,,
standardmintS,N0021,standard,mint,S,52,,,,,,
standardmintM,N0022,standard,mint,M,228,,,,,,
standardmintL,N0023,standard,mint,L,92,,,,,,
standardmintXL,N0024,standard,mint,XL,8,,,,,,
standardbeigeS,N0031,standard,beige,S,52,,35,25,25,20,30
standardbeigeM,N0032,standard,beige,M,233,,150,100,100,110,150
standardbeigeL,N0033,standard,beige,L,92,,60,40,40,35,60
standardbeigeXL,N0034,standard,beige,XL,8,,15,10,10,5,15
standardgreenXS,N0040,standard,green,XS,,,10,10,10,5,15
standardgreenS,N0041,standard,green,S,,,35,25,25,25,50
standardgreenM,N0042,standard,green,M,,,150,100,100,105,205
standardgreenL,N0043,standard,green,L,,,60,40,40,40,75
standardgreenXL,N0044,standard,green,XL,,,15,10,10,5,20
standardazukiS,N0051,standard,azuki,S,,,,25,25,30,55
standardazukiM,N0052,standard,azuki,M,,,,100,100,145,225
standardazukiL,N0053,standard,azuki,L,,,,40,40,55,85
standardazukiXL,N0054,standard,azuki,XL,,,,10,10,10,20
slimblackS,N0101,slim,black,S,,60,,50,50,,25
slimblackM,N0102,slim,black,M,,150,,120,120,,50
slimblackL,N0103,slim,black,L,,45,,40,40,,15
slimblackXL,N0104,slim,black,XL,,15,,10,10,,10
slimorangeS,N0111,slim,orange,S,,25,,20,20,,30
slimorangeM,N0112,slim,orange,M,,65,,50,50,,75
slimorangeL,N0113,slim,orange,L,,20,,15,15,,20
slimorangeXL,N0114,slim,orange,XL,,5,,10,10,,5
slimmintS,N0121,slim,mint,S,42,,,20,20,,
slimmintM,N0122,slim,mint,M,103,,,50,50,,
slimmintL,N0123,slim,mint,L,37,,,15,15,,
slimmintXL,N0124,slim,mint,XL,3,,,5,5,,
slimgreenS,N0131,slim,green,S,,,25,,,,20
slimgreenM,N0132,slim,green,M,,,65,,,,70
slimgreenL,N0133,slim,green,L,,,20,,,,15
slimgreenXL,N0134,slim,green,XL,,,5,,,,5
fullblackXS,N0200,full,black,XS,,45,,40,40,30,45
fullblackS,N0201,full,black,S,,215,,175,175,95,155
fullblackM,N0202,full,black,M,,855,,730,730,0,580
fullblackL,N0203,full,black,L,,700,,520,520,300,380
fullblackXL,N0204,full,black,XL,,150,,155,155,95,145
fullblueXS,N0210,full,blue,XS,,10,,20,20,5,20
fullblueS,N0211,full,blue,S,,45,,25,25,25,75
fullblueM,N0212,full,blue,M,,175,,120,120,130,250
fullblueL,N0213,full,blue,L,,145,,75,75,85,180
fullblueXL,N0214,full,blue,XL,,30,,40,40,25,70
fullmintXS,N0220,full,mint,XS,4,,,,,,
fullmintS,N0221,full,mint,S,77,,,,,,
fullmintM,N0222,full,mint,M,283,,,,,,
fullmintL,N0223,full,mint,L,207,,,,,,
fullmintXL,N0224,full,mint,XL,13,,,,,,
fullorangeXS,N0230,full,orange,XS,4,10,,15,15,5,20
fullorangeS,N0231,full,orange,S,77,45,,25,25,25,60
fullorangeM,N0232,full,orange,M,283,175,,120,120,130,235
fullorangeL,N0233,full,orange,L,207,145,,75,75,85,160
fullorangeXL,N0234,full,orange,XL,13,30,,20,20,25,55
fullgreenXS,N0240,full,green,XS,,,10,10,10,5,20
fullgreenS,N0241,full,green,S,,,45,25,25,25,70
fullgreenM,N0242,full,green,M,,,175,120,120,130,270
fullgreenL,N0243,full,green,L,,,145,75,75,85,160
fullgreenXL,N0244,full,green,XL,,,30,20,20,25,60
fullazukiS,N0251,full,azuki,S,,,,25,25,35,75
fullazukiM,N0252,full,azuki,M,,,,120,120,165,265
fullazukiL,N0253,full,azuki,L,,,,75,75,110,175
fullazukiXL,N0254,full,azuki,XL,,,,20,20,35,65
